Home_Team,Away_Team,Season,Round,League,Link,Time,Day,Home_Goals,Away_Goals,Label
Elche,Eibar,2021,24,primera_division,/match/elche/eibar/2021,14:00,20/02/2021,x,x,x
AtlÃ©tico,Levante,2021,24,primera_division,/match/atletico-madrid/levante/2021,16:15,20/02/2021,x,x,x
Valencia,Celta,2021,24,primera_division,z,18:30,20/02/2021,x,x,x
Real Valladolid,Real Madrid,2021,24,primera_division,z,21:00,20/02/2021,x,x,x
Barcelona,CÃ¡diz,2021,24,primera_division,z,14:00,21/02/2021,x,x,x
R. Sociedad,AlavÃ©s,2021,24,primera_division,z,16:15,21/02/2021,x,x,x
Huesca,Granada,2021,24,primera_division,z,18:30,21/02/2021,x,x,x
Athletic,Villarreal,2021,24,primera_division,z,21:00,21/02/2021,x,x,x
Osasuna,Sevilla,2021,24,primera_division,z,21:00,22/02/2021,x,x,x
Mallorca,AlmerÃ­a,2021,26,segunda_division,z,16:00,21/02/2021,x,x,x
Espanyol,Sabadell,2021,26,segunda_division,z,16:00,20/02/2021,x,x,x
MÃ¡laga,Rayo Vallecano,2021,26,segunda_division,z,21:00,21/02/2021,x,x,x
LeganÃ©s,Tenerife,2021,26,segunda_division,z,14:00,21/02/2021,x,x,x
Albacete,Real Sporting,2021,26,segunda_division,z,18:15,20/02/2021,x,x,x
Las Palmas,FC Cartagena,2021,26,segunda_division,z,20:30,20/02/2021,x,x,x
